Symbol,Interval,Total Trades,Profitable Trades,Win Rate (%),Total Profit ($),Total Profit (%)
BTC-USD,Weekly,99,53,53.535353535353536,64275.40798828131,1.5915841668740118
BTC-USD,Monthly,28,21,75.0,28956.599042968788,2.849404223273703
BTC-USD,Quarterly,2,2,100.0,10028.474218750009,5.000000000000004
ETH-USD,Weekly,94,87,92.5531914893617,7903.448221969609,4.542860151585743
ETH-USD,Monthly,0,0,0.0,0.0,0.0
ETH-USD,Quarterly,0,0,0.0,0.0,0.0
XRP-USD,Weekly,98,54,55.10204081632652,0.7841419568657879,1.681922286876711
XRP-USD,Monthly,26,17,65.38461538461539,0.30071958139538746,2.3545996967600273
XRP-USD,Quarterly,11,9,81.81818181818183,0.3230748079717159,3.8066088188866214
LTC-USD,Weekly,97,86,88.65979381443299,362.0686903762821,4.174018011137883
LTC-USD,Monthly,0,0,0.0,0.0,0.0
LTC-USD,Quarterly,0,0,0.0,0.0,0.0
BCH-USD,Weekly,92,82,89.13043478260869,1293.7673172760024,4.2192313181776075
BCH-USD,Monthly,0,0,0.0,0.0,0.0
BCH-USD,Quarterly,0,0,0.0,0.0,0.0
ADA-USD,Weekly,103,77,74.75728155339806,1.7022174125909817,3.4220663296288847
ADA-USD,Monthly,0,0,0.0,0.0,0.0
ADA-USD,Quarterly,0,0,0.0,0.0,0.0
DOGE-USD,Weekly,85,75,88.23529411764706,0.3887585292628504,4.163950434957315
DOGE-USD,Monthly,0,0,0.0,0.0,0.0
DOGE-USD,Quarterly,0,0,0.0,0.0,0.0
BNB-USD,Weekly,106,66,62.264150943396224,621.4584185028081,2.024688278730285
BNB-USD,Monthly,30,23,76.66666666666667,321.192222118378,3.3959598579732275
BNB-USD,Quarterly,2,1,50.0,18.831553344726558,1.3866993592716834
XLM-USD,Weekly,87,79,90.80459770114942,0.6550197981670507,4.329217024551321
XLM-USD,Monthly,0,0,0.0,0.0,0.0
XLM-USD,Quarterly,0,0,0.0,0.0,0.0
TRX-USD,Weekly,114,71,62.28070175438597,0.2182539204973729,2.171077220071218
TRX-USD,Monthly,27,20,74.07407407407408,0.05801787039265042,3.129571281263656
TRX-USD,Quarterly,2,2,100.0,0.026698049902915966,5.000000000000003
ETC-USD,Weekly,88,78,88.63636363636364,73.97033317089088,4.103962836641777
ETC-USD,Monthly,0,0,0.0,0.0,0.0
ETC-USD,Quarterly,0,0,0.0,0.0,0.0
EOS-USD,Weekly,94,83,88.29787234042553,7.547559156119829,4.608437943135975
EOS-USD,Monthly,0,0,0.0,0.0,0.0
EOS-USD,Quarterly,7,6,85.71428571428571,0.22519417047500623,4.247926318285997
XMR-USD,Weekly,107,92,85.98130841121495,755.2184963607793,3.878168304760631
XMR-USD,Monthly,0,0,0.0,0.0,0.0
XMR-USD,Quarterly,11,11,100.0,97.56383876800543,5.000000000000003
DASH-USD,Weekly,105,87,82.85714285714286,268.3125153923037,3.9991333274270735
DASH-USD,Monthly,0,0,0.0,0.0,0.0
DASH-USD,Quarterly,7,5,71.42857142857143,6.532010269165053,2.7627253354783012
ZEC-USD,Weekly,59,36,61.016949152542374,88.989829311371,2.0187688274940196
ZEC-USD,Monthly,0,0,0.0,0.0,0.0
ZEC-USD,Quarterly,0,0,0.0,0.0,0.0
SOL-USD,Weekly,100,93,93.0,323.00686675429375,4.309625688087398
SOL-USD,Monthly,0,0,0.0,0.0,0.0
SOL-USD,Quarterly,0,0,0.0,0.0,0.0
USDS-USD,Weekly,38,31,81.57894736842105,1.3529640835523615,3.6400412181038537
USDS-USD,Monthly,13,10,76.92307692307693,0.43948350369930267,3.387118234737703
USDS-USD,Quarterly,4,4,100.0,0.17176534235477448,4.307672563494892
USDE-USD,Weekly,13,12,92.3076923076923,0.39066963768462337,4.227877240799275
USDE-USD,Monthly,0,0,0.0,0.0,0.0
USDE-USD,Quarterly,0,0,0.0,0.0,0.0
OMG-USD,Weekly,100,89,89.0,9.294758268222218,4.622290476080478
OMG-USD,Monthly,0,0,0.0,0.0,0.0
OMG-USD,Quarterly,3,2,66.66666666666666,-0.03700165301561356,-5.779602676986418
ZRX-USD,Weekly,100,92,92.0,1.981368110328914,4.417540187335627
ZRX-USD,Monthly,0,0,0.0,0.0,0.0
ZRX-USD,Quarterly,9,7,77.77777777777779,0.08471223071217548,3.034303470881213
REP-USD,Weekly,91,80,87.91208791208791,38.4796680039168,4.401750600440685
REP-USD,Monthly,0,0,0.0,0.0,0.0
REP-USD,Quarterly,5,4,80.0,0.1632611048221589,4.142129024761254
UNI-USD,Weekly,95,81,85.26315789473684,0.001030599999794505,4.170949873107984
UNI-USD,Monthly,13,10,76.92307692307693,4.988999993656768e-05,3.1939821196459834
UNI-USD,Quarterly,10,8,80.0,5.391999955463692e-05,2.6574666875088737
DCR-USD,Weekly,94,83,88.29787234042553,149.6605370140077,4.488630283985433
DCR-USD,Monthly,0,0,0.0,0.0,0.0
DCR-USD,Quarterly,8,8,100.0,6.7218478202819885,5.000000000000004
WAVES-USD,Weekly,101,88,87.12871287128714,23.163636730909374,4.6930556598304
WAVES-USD,Monthly,0,0,0.0,0.0,0.0
WAVES-USD,Quarterly,5,4,80.0,0.023452866077423362,0.42072448683539143
AAVE-USD,Weekly,86,80,93.02325581395348,571.1666215896611,4.5007632891041105
AAVE-USD,Monthly,0,0,0.0,0.0,0.0
AAVE-USD,Quarterly,9,7,77.77777777777779,34.275548286438045,2.3243138664083385
TON-USD,Weekly,87,53,60.91954022988506,3.0352951041981595,1.8650702492545221
TON-USD,Monthly,10,7,70.0,0.28979443497955826,3.8462968927355448
TON-USD,Quarterly,6,4,66.66666666666666,0.18942026995122463,2.9871468369157093
ICX-USD,Weekly,102,87,85.29411764705883,1.905923497378828,4.111159291248131
ICX-USD,Monthly,8,5,62.5,0.024549059718847258,2.582222427934316
ICX-USD,Quarterly,6,3,50.0,0.01395949974656105,1.2720532634849249
TAO-USD,Weekly,0,0,0.0,0.0,0.0
TAO-USD,Monthly,0,0,0.0,0.0,0.0
TAO-USD,Quarterly,0,0,0.0,0.0,0.0
THETA-USD,Weekly,99,87,87.87878787878788,7.188335798680788,4.59072525524946
THETA-USD,Monthly,0,0,0.0,0.0,0.0
THETA-USD,Quarterly,10,8,80.0,0.27278704434633216,1.7996686783927458
USDC-USD,Weekly,1,1,100.0,0.048851299285888716,5.000000000000004
USDC-USD,Monthly,0,0,0.0,0.0,0.0
USDC-USD,Quarterly,0,0,0.0,0.0,0.0
LINK-USD,Weekly,106,96,90.56603773584906,58.51349390506753,4.059826016172888
LINK-USD,Monthly,0,0,0.0,0.0,0.0
LINK-USD,Quarterly,0,0,0.0,0.0,0.0
ATOM-USD,Weekly,95,85,89.47368421052632,42.98513280272489,4.627346016484099
ATOM-USD,Monthly,0,0,0.0,0.0,0.0
ATOM-USD,Quarterly,9,8,88.88888888888889,2.7098591923713697,4.311200140085888
DOT-USD,Weekly,89,78,87.64044943820225,40.52903137207033,4.488530864572914
DOT-USD,Monthly,2,1,50.0,0.112331273555756,1.7881814998215684
DOT-USD,Quarterly,6,4,66.66666666666666,-1.084360141754149,-3.7511037651352734
AVAX-USD,Weekly,81,76,93.82716049382715,102.84050444126139,4.547888979306187
AVAX-USD,Monthly,0,0,0.0,0.0,0.0
AVAX-USD,Quarterly,0,0,0.0,0.0,0.0
USDT-USD,Weekly,0,0,0.0,0.0,0.0
USDT-USD,Monthly,0,0,0.0,0.0,0.0
USDT-USD,Quarterly,0,0,0.0,0.0,0.0
DAI-USD,Weekly,5,5,100.0,0.24733760058879883,5.000000000000006
DAI-USD,Monthly,0,0,0.0,0.0,0.0
DAI-USD,Quarterly,0,0,0.0,0.0,0.0
MANA-USD,Weekly,94,88,93.61702127659575,2.3842900625616332,4.704870324010294
MANA-USD,Monthly,0,0,0.0,0.0,0.0
MANA-USD,Quarterly,0,0,0.0,0.0,0.0
MNT-USD,Weekly,20,18,90.0,0.07543159965425733,4.2753825107742225
MNT-USD,Monthly,0,0,0.0,0.0,0.0
MNT-USD,Quarterly,3,3,100.0,0.08200130201876166,33.1143122299089
SUI-USD,Weekly,10,9,90.0,9.431000009499264e-05,3.743945995664979
SUI-USD,Monthly,3,2,66.66666666666666,2.510000049369413e-05,3.1296757778951085
SUI-USD,Quarterly,1,0,0.0,-2.19999928958714e-05,-6.8322957787877545
LEO-USD,Weekly,108,55,50.92592592592593,5.421707646846774,1.3427563358000922
LEO-USD,Monthly,30,23,76.66666666666667,3.2996993154287355,2.6640312058145867
LEO-USD,Quarterly,11,10,90.9090909090909,2.103937885761262,4.194231906044661
